,_id,id,tweetCount,news_title
84,5c34465ae8a490580c567e7b,politifact15018,1141,"Smoking In Cars With Children Is Illegal Starting January 30, 2018"
9,5c3445ffe8a490580c567e46,politifact14259,975,Bumble Bee Foods charged after man cooked with tuna
35,5c34461499023e6294754497,politifact14839,963,Morgue employee cremated by mistake while taking a nap
63,5c34463de8a490580c567e71,politifact13589,827,Pope Francis To Followers: “Koran And Holy Bible Are The Same”
38,5c34462699023e62947544ac,politifact15004,430,"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead"
30,5c344615f839832ff86827f0,politifact13854,376,BREAKING: FBI Issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap
19,5c34461144925f59105fd04f,politifact14238,352,Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression
102,5c34466599023e62947544bb,politifact15334,333,‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons
5,5c3445ffe8a490580c567e41,politifact15201,329,Trey Gowdy Breaks His Silence After 2 Of His Investigators Are Found Tortured And Killed…
103,5c34466599023e62947544bc,politifact15048,296,Trump Declares Globalist Soros As “National Security Threat”…Using Obama’s 2014 Executive Order
